,CountryName,CountryCode3,Year,FR,Lat,Lon,Region,SubRegion
140,"Micronesia, Fed. Sts.",FSM,2017,3.0980000000000003, 6.9167, 158.25,Oceania,Micronesia
141,Israel,ISR,2017,3.11, 31.5, 34.75,Asia,Western Asia
142,"Egypt, Arab Rep.",EGY,2017,3.21, 27, 30,Africa,Northern Africa
143,Vanuatu,VUT,2017,3.239, -16, 167,Oceania,Melanesia
144,Jordan,JOR,2017,3.3089999999999997, 31, 36,Asia,Western Asia
145,Tajikistan,TJK,2017,3.313, 39, 71,Asia,Central Asia
146,Namibia,NAM,2017,3.3539999999999996, -22, 17,Africa,Sub-Saharan Africa
147,Pakistan,PAK,2017,3.4139999999999997, 30, 70,Asia,Southern Asia
148,Tonga,TON,2017,3.595, -20, -175,Oceania,Polynesia
149,Kiribati,KIR,2017,3.609, 1.4167, 173,Oceania,Micronesia
150,Papua New Guinea,PNG,2017,3.61, -6, 147,Oceania,Melanesia
151,Seychelles,SYC,2017,3.63, -4.5833, 55.6667,Africa,Sub-Saharan Africa
152,Zimbabwe,ZWE,2017,3.682, -20, 30,Africa,Sub-Saharan Africa
153,Gabon,GAB,2017,3.72, -1, 11.75,Africa,Sub-Saharan Africa
154,Kenya,KEN,2017,3.793, 1, 38,Africa,Sub-Saharan Africa
155,Solomon Islands,SLB,2017,3.795, -8, 159,Oceania,Melanesia
156,Rwanda,RWA,2017,3.8089999999999997, -2, 30,Africa,Sub-Saharan Africa
157,"Yemen, Rep.",YEM,2017,3.889, 15, 48,Asia,Western Asia
158,Ghana,GHA,2017,3.926, 8, -2,Africa,Sub-Saharan Africa
159,Samoa,WSM,2017,3.926, -13.5833, -172.3333,Oceania,Polynesia
160,West Bank and Gaza,PSE,2017,3.9419999999999997, 32, 35.25,Asia,Western Asia
161,Eritrea,ERI,2017,4.061, 15, 39,Africa,Sub-Saharan Africa
162,Ethiopia,ETH,2017,4.081, 8, 38,Africa,Sub-Saharan Africa
163,Madagascar,MDG,2017,4.129, -20, 47,Africa,Sub-Saharan Africa
164,Comoros,COM,2017,4.275, -12.1667, 44.25,Africa,Sub-Saharan Africa
165,Iraq,IRQ,2017,4.309, 33, 44,Asia,Western Asia
166,Sierra Leone,SLE,2017,4.359, 8.5, -11.5,Africa,Sub-Saharan Africa
167,Togo,TGO,2017,4.3839999999999995, 8, 1.1667,Africa,Sub-Saharan Africa
168,Sao Tome and Principe,STP,2017,4.394, 1, 7,Africa,Sub-Saharan Africa
169,Sudan,SDN,2017,4.468999999999999, 15, 30,Africa,Northern Africa
170,Afghanistan,AFG,2017,4.477, 33, 65,Asia,Southern Asia
171,Malawi,MWI,2017,4.505, -13.5, 34,Africa,Sub-Saharan Africa
172,Liberia,LBR,2017,4.513, 6.5, -9.5,Africa,Sub-Saharan Africa
173,Guinea-Bissau,GNB,2017,4.556, 12, -15,Africa,Sub-Saharan Africa
174,Equatorial Guinea,GNQ,2017,4.599, 2, 10,Africa,Sub-Saharan Africa
175,"Congo, Rep.",COG,2017,4.599, -1, 15,Africa,Sub-Saharan Africa
176,Mauritania,MRT,2017,4.612, 20, -12,Africa,Sub-Saharan Africa
177,Cameroon,CMR,2017,4.638999999999999, 6, 12,Africa,Sub-Saharan Africa
178,Senegal,SEN,2017,4.695, 14, -14,Africa,Sub-Saharan Africa
179,Guinea,GIN,2017,4.777, 11, -10,Africa,Sub-Saharan Africa
180,Central African Republic,CAF,2017,4.796, 7, 21,Africa,Sub-Saharan Africa
181,Cote d'Ivoire,CIV,2017,4.846, 8, -5,Africa,Sub-Saharan Africa
182,Benin,BEN,2017,4.906000000000001, 9.5, 2.25,Africa,Sub-Saharan Africa
183,Zambia,ZMB,2017,4.925, -15, 30,Africa,Sub-Saharan Africa
184,Tanzania,TZA,2017,4.953, -6, 35,Africa,Sub-Saharan Africa
185,Mozambique,MOZ,2017,5.178999999999999, -18.25, 35,Africa,Sub-Saharan Africa
186,Burkina Faso,BFA,2017,5.271, 13, -2,Africa,Sub-Saharan Africa
187,"Gambia, The",GMB,2017,5.358, 13.4667, -16.5667,Africa,Sub-Saharan Africa
188,Timor-Leste,TLS,2017,5.391, -8.55, 125.5167,Asia,South-eastern Asia
189,Nigeria,NGA,2017,5.457000000000001, 10, 8,Africa,Sub-Saharan Africa
190,Uganda,UGA,2017,5.5, 1, 32,Africa,Sub-Saharan Africa
191,Burundi,BDI,2017,5.615, -3.5, 30,Africa,Sub-Saharan Africa
192,Angola,AGO,2017,5.622999999999999, -12.5, 18.5,Africa,Sub-Saharan Africa
193,Chad,TCD,2017,5.846, 15, 19,Africa,Sub-Saharan Africa
194,Mali,MLI,2017,5.968, 17, -4,Africa,Sub-Saharan Africa
195,"Congo, Dem. Rep.",COD,2017,6.018, 0, 25,Africa,Sub-Saharan Africa
196,Somalia,SOM,2017,6.171, 10, 49,Africa,Sub-Saharan Africa
197,Niger,NER,2017,7.184, 16, 8,Africa,Sub-Saharan Africa
198,Dominica,DMA,2017,, 15.4167, -61.3333,Americas,Latin America and the Caribbean
199,Isle of Man,IMN,2017,, 54.23, -4.55,Europe,Northern Europe
200,St. Kitts and Nevis,KNA,2017,, 17.3333, -62.75,Americas,Latin America and the Caribbean
